Min temp_D91_D120,Max temp_D91_D120,Relative Humidity_D91_D120,Paddy yield(in Kg)
16,33,85,35028
16,30.5,87,35412
18,33,79,36300
15.5,32.5,84,35016
16.5,35,81,34044
15,31.5,88,36732
16,33,85,33162
16,30.5,87,36690
18,33,79,35310
15.5,32.5,84,32460
16.5,35,81,34152
15,31.5,88,36090
16,33,85,34596
16,30.5,87,34458
18,33,79,37926
15.5,32.5,84,32778
16.5,35,81,37278
15,31.5,88,33666
16,33,85,34386
16,30.5,87,35658
18,33,79,37362
15.5,32.5,84,34716
16.5,35,81,35646
15,31.5,88,38496
16,33,85,35496
16,30.5,87,37362
18,33,79,33462
15.5,32.5,84,33804
16.5,35,81,35538
15,31.5,88,34524
16,33,85,35130
16,30.5,87,34518
18,33,79,35040
15.5,32.5,84,33762
16.5,35,81,38172
15,31.5,88,37062
16,33,85,37716
16,30.5,87,36000
18,33,79,36906
15.5,32.5,84,35556
16.5,35,81,37134
15,31.5,88,38178
16,33,85,35298
16,30.5,87,34218
18,33,79,36552
15.5,32.5,84,35592
16.5,35,81,33162
15,31.5,88,37152
16,33,85,34338
16,30.5,87,38424
18,33,79,33768
15.5,32.5,84,34680
16.5,35,81,33864
15,31.5,88,38508
16,33,85,35238
16,30.5,87,35298
18,33,79,38136
15.5,32.5,84,35016
16.5,35,81,36954
15,31.5,88,32460
16,33,85,34338
16,30.5,87,34530
18,33,79,37254
15.5,32.5,84,32952
16.5,35,81,35178
15,31.5,88,36690
16,33,85,35238
16,30.5,87,38586
18,33,79,35784
15.5,32.5,84,33030
16.5,35,81,33162
15,31.5,88,32460
16,33,85,35280
16,30.5,87,32778
